,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
10543,c_c013030,전북 전주시 덕진구 반월동 848-23,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;2;3;4;5;
10544,c_c013041,충북 단양군 단양읍 별곡리 569,0.0,6,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21;3;
10545,c_c013041,충북 단양군 매포읍 하괴리 84-1,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21;3;
10546,c_c013041,충북 단양군 단양읍 상진리 4-4,0.0,6,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21;3;
10547,c_c013052,대전 서구 장안동 259,0.0,1,0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,21;22;28;5;
10548,c_c013066,충남 태안군 소원면 모항리 495-25,0.0,4,0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,7.0,0
10549,c_c013066,충남 태안군 남면 신장리 23,0.0,1,0,4.0,3.0,5.0,4.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,7.0,0
10550,c_c013066,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,5.0,5.0,5.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,7.0,0
10551,c_c013074,세종특별자치시 전동면 송성리 8-5,0.0,1,0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,10.0,2.0,6.0,1.0,2.0,3.0,2.0,3.0,7.0,6.0,11;2;4;6;9;
10552,c_c013085,충남 보령시 신흑동 2267-3,0.0,1,0,4.0,4.0,4.0,4.0,1.0,7.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,6.0,22;21;
10553,c_c013086,전북 정읍시 내장동 590,0.0,2,0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,0
10554,c_c013091,충남 부여군 부여읍 능산리 388-1,0.0,2,0,5.0,5.0,5.0,5.0,1.0,8.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3;6;
